service_request_number;reported_date;service_request_summary;category;definition;follow_up_date;service_request_type;neighborhood
5098858;2021-03-17;JUNKY YARD, COMMERCIAL VEHICLE;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-15;CE-Junky Yard;Parkway Village
5099170;2021-03-17;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-15;CE-Junky Yard;Parkway Village
5109506;2021-03-22;JUNKY FRONT YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-15;CE-Junky Yard;Parkway Village
5110814;2021-03-23;High weeds and grass. Vacant house';Weeds;Closed, Other;2021-04-14;CE-Weeds Occupied Property;Parkway Village
5114392;2021-03-24;PARKING ON GRASS;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-13;CE-Junky Yard;Parkway Village
5116880;2021-03-25;JUNKY CARPORT;Inspection-Junky Yard;Justified, Active already file;2021-04-08;CE-Junky Yard;Parkway Village
5151552;2021-04-06;JUNKY YARD and PARKING ON GRASS;Inspection-Junky Yard;Closed Void;2021-07-15;CE-Junky Yard;Parkway Village
5180484;2021-04-08;junky yard , parking on yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-13;CE-Junky Yard;Parkway Village
5180562;2021-04-08;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-12;CE-Junky Yard;Parkway Village
5180354;2021-04-08;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-12;CE-Junky Yard;Parkway Village
5180412;2021-04-08;HIGH GRASS;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-23;CE-Weeds Occupied Property;Parkway Village
5180376;2021-04-08;junky yard , parking on yard;Inspection-Junky Yard;Closed Void;2021-07-12;CE-Junky Yard;Parkway Village
5180408;2021-04-08;junky yard , parking on yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-12;CE-Junky Yard;Parkway Village
5180416;2021-04-08;PARKING ON YARD;Cleanup;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-13;CE-Accumulation of Stagnant;Parkway Village
5180482;2021-04-08;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-13;CE-Junky Yard;Parkway Village
5180338;2021-04-08;junky yard;Inspection-Junky Yard;Closed Void;2021-07-12;CE-Junky Yard;Parkway Village
5204806;2021-04-13;JUNKY YARD, PARKING ON GRASS;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-12;CE-Junky Yard;Parkway Village
5204568;2021-04-13;High grass and weeds in both yards. Sidewalk and Curbside dirty with trash and debris.;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-21;CE-Weeds Occupied Property;Parkway Village
5204596;2021-04-13;High grass and weeds in both yards. Mailbox down at curbside.;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-21;CE-Weeds Occupied Property;Parkway Village
5221232;2021-04-22;high grass and weeds;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-10;CE-Weeds Occupied Property;Parkway Village
5221178;2021-04-22;Junky yard and debris.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-10;CE-Junky Yard;Parkway Village
5221132;2021-04-22;Junky yard and debris.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-10;CE-Junky Yard;Parkway Village
5222148;2021-04-22;HIGH WEEDS GRASS;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-09;CE-Weeds Occupied Property;Parkway Village
5222254;2021-04-22;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-03-08;CE-Junky Yard;Parkway Village
5222244;2021-04-22;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-28;CE-Junky Yard;Parkway Village
5221120;2021-04-22;high grass and weeds;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-10;CE-Weeds Occupied Property;Parkway Village
5222248;2021-04-22;HIGH GRASS;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-02-25;CE-Weeds Occupied Property;Parkway Village
5222290;2021-04-22;JUNKY YARD REAR APPLIANCE;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-28;CE-Junky Yard;Parkway Village
5222322;2021-04-22;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-28;CE-Junky Yard;Parkway Village
5222294;2021-04-22;HIGH GRASS;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-12-22;CE-Weeds Occupied Property;Parkway Village
5222162;2021-04-22;Tire accumulation;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-10;CE-Junky Yard;Parkway Village
5221128;2021-04-22;high grass and weeds;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-10;CE-Weeds Occupied Property;Parkway Village
5221208;2021-04-22;high grass and weeds;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-10;CE-Weeds Occupied Property;Parkway Village
5222178;2021-04-22;PARKINBG ON YARD,JUNKY YARD;Inspection-Junky Yard;Closed Void;2021-11-16;CE-Junky Yard;Parkway Village
5222318;2021-04-22;PARKING ON YARD ,JUNKY YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-10;CE-Junky Yard;Parkway Village
5227412;2021-04-27;Occupied Property -Trash debris, Trailer and Car parts;Inspection-Junky Yard;Closed Void;2021-09-16;CE-Junky Yard;Parkway Village
5238486;2021-05-03;JUNKY FRONT YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-23;CE-Junky Yard;Parkway Village
5260270;2021-05-17;Overgrown property with high grass and weeds;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-12;CE-Weeds Occupied Property;Parkway Village
5265692;2021-05-19;Junky back yard, tires and high grass and weeds.;Inspection-Junky Yard;Closed Void;2021-08-25;CE-Junky Yard;Parkway Village
5277322;2021-05-26;high grass and weeds in front yard, garbage and trash in yard;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-12;CE-Weeds Occupied Property;Parkway Village
5279128;2021-05-27;JUNKY YARD TRASH EVERYWHERE;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-19;CE-Weeds Occupied Property;Parkway Village
5309660;2021-06-17;Occ house high weeds and bushes in the backyard;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-07;CE-Weeds Occupied Property;Parkway Village
5311470;2021-06-18;parking in the grass and gargbe bin over flown with trash  . refrigerator outisde;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-23;CE-Junky Yard;Parkway Village
