Offense Date,UCR Description,UCR Category,Zip Code
2021-01-10 22:49:00+00:00,ARSON,ARSON,38128
2021-01-11 08:22:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-11 12:05:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-11 13:18:00+00:00,CREDIT CARD/ATM FRAUD,FRAUD,38128
2021-01-11 16:47:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-11 17:16:00+00:00,MURDER/NON-NEGL MSLTR,HOMICIDE,38128
2021-01-11 19:15:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-11 20:00:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38128
2021-01-12 00:35:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-12 08:00:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-12 11:00:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-12 12:00:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-12 12:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-12 12:35:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-12 13:10:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-12 14:00:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-12 16:20:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-12 16:54:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-12 17:02:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-12 18:52:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38128
2021-01-12 19:20:00+00:00,MURDER/NON-NEGL MSLTR,HOMICIDE,38128
2021-01-12 20:56:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38128
2021-01-12 22:15:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38128
2021-01-12 22:40:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-13 00:00:00+00:00,STALKING,ASSAULT,38128
2021-01-13 09:25:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-13 14:00:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38128
2021-01-13 16:24:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-13 17:00:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-13 17:45:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-13 18:00:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-13 18:00:00+00:00,STALKING,ASSAULT,38128
2021-01-13 20:56:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-13 21:37:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-13 22:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-13 22:36:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-14 00:35:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38128
2021-01-14 06:30:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-14 10:15:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-14 10:50:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-14 12:55:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38128
2021-01-14 15:29:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-14 16:15:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-14 16:40:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-14 16:41:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
