Offense Date,UCR Description,UCR Category,Zip Code
2021-01-11 12:50:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-11 14:00:00+00:00,COUNTERFEITING/FORGERY,COUNTERFEITING/FORGERY,38114
2021-01-11 17:29:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-11 19:15:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-11 20:05:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38114
2021-01-11 21:15:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-11 22:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-11 23:30:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-12 00:45:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-12 02:15:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-12 08:00:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38114
2021-01-12 16:15:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-12 20:23:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-12 20:42:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-12 22:30:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-13 04:52:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38114
2021-01-13 11:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-13 15:45:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-13 17:38:00+00:00,WEAPON LAW VIOL,WEAPON LAW VIOLATION,38114
2021-01-13 18:40:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38114
2021-01-13 19:50:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38114
2021-01-13 20:05:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-13 23:30:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-14 01:20:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-14 02:50:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-14 09:20:00+00:00,WEAPON LAW VIOL,WEAPON LAW VIOLATION,38114
2021-01-14 09:30:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38114
2021-01-14 12:00:00+00:00,ROBBERY,ROBBERY,38114
2021-01-14 17:30:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38114
2021-01-14 17:50:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-15 01:40:00+00:00,ARSON,ARSON,38114
2021-01-15 08:00:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38114
2021-01-15 09:20:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-15 12:00:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38114
2021-01-15 12:00:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-15 16:25:00+00:00,WEAPON LAW VIOL,WEAPON LAW VIOLATION,38114
2021-01-15 17:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-15 17:00:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-16 01:24:00+00:00,DRIVING UNDER THE INFLUENCE,DRIVING UNDER THE INFLUENCE,38114
2021-01-16 02:30:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-16 07:30:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-16 12:45:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-16 18:45:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38114
2021-01-16 19:01:00+00:00,DRUG/NARCOTIC EQUIQ VIOL,DRUG/NARCOTIC,38114
2021-01-16 20:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-16 20:30:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-16 22:00:00+00:00,WEAPON LAW VIOL,WEAPON LAW VIOLATION,38114
2021-01-16 22:00:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38114
2021-01-16 22:00:00+00:00,DRUG/NARCOTIC VIOLS,DRUG/NARCOTIC,38114
2021-01-16 23:45:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-17 10:50:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-17 11:30:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-17 13:50:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-17 15:00:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-17 15:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-17 16:40:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38114
2021-01-17 19:40:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38114
2021-01-17 21:25:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38114
2021-01-17 22:20:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-17 22:45:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-17 23:10:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-17 23:30:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-18 00:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-18 03:10:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-18 05:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-18 08:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-18 08:30:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-18 08:45:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
